Timestamp,Quaternion_W,Quaternion_X,Quaternion_Y,Quaternion_Z
2024-01-03 23:53:35.398,14557,64,-37,7518
2024-01-03 23:53:35.426,14557,64,-37,7518
2024-01-03 23:53:35.451,14557,64,-37,7518
2024-01-03 23:53:35.480,14557,64,-37,7518
2024-01-03 23:53:35.515,14557,64,-37,7518
2024-01-03 23:53:35.537,14557,64,-37,7518
2024-01-03 23:53:35.565,14557,64,-37,7518
2024-01-03 23:53:35.598,14557,64,-37,7518
2024-01-03 23:53:35.628,14557,64,-37,7518
2024-01-03 23:53:35.653,14557,64,-37,7518
2024-01-03 23:53:35.674,14557,64,-37,7518
2024-01-03 23:53:35.714,14557,64,-37,7518
2024-01-03 23:53:35.732,14557,64,-37,7518
2024-01-03 23:53:35.758,14557,64,-37,7518
2024-01-03 23:53:35.783,14557,64,-37,7518
2024-01-03 23:53:35.839,14557,64,-37,7518
2024-01-03 23:53:35.866,14557,64,-37,7518
2024-01-03 23:53:35.893,14557,64,-37,7518
2024-01-03 23:53:35.902,14557,64,-37,7518
2024-01-03 23:53:35.929,14557,64,-37,7518
2024-01-03 23:53:35.958,14557,64,-37,7518
2024-01-03 23:53:35.982,14557,64,-37,7518
2024-01-03 23:53:36.017,14557,64,-37,7518
2024-01-03 23:53:36.032,14557,64,-37,7518
2024-01-03 23:53:36.071,14557,64,-37,7518
2024-01-03 23:53:36.089,14557,64,-37,7518
2024-01-03 23:53:36.116,14557,64,-37,7518
2024-01-03 23:53:36.147,14557,64,-37,7518
2024-01-03 23:53:36.170,14557,64,-37,7518
2024-01-03 23:53:36.200,14557,64,-37,7518
2024-01-03 23:53:36.225,14557,64,-37,7518
2024-01-03 23:53:36.253,14557,64,-37,7518
2024-01-03 23:53:36.289,14557,64,-37,7518
2024-01-03 23:53:36.310,14557,64,-37,7518
2024-01-03 23:53:36.335,14557,64,-37,7518
2024-01-03 23:53:36.363,14557,64,-37,7518
2024-01-03 23:53:36.394,14557,64,-37,7518
2024-01-03 23:53:36.420,14557,64,-37,7518
2024-01-03 23:53:36.444,14557,64,-37,7518
2024-01-03 23:53:36.473,14557,64,-37,7518
