Timestamp,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
2024-01-03 23:59:08.486,-0.428703,-0.432791,60.796075,-0.06,0.16,9.65,0.0,-0.062,-0.062,5.062,9.25,-32.188
2024-01-03 23:59:08.509,-0.440092,-0.449943,54.784793,0.13,0.11,9.6,0.0,0.0,0.312,6.188,8.875,-31.75
2024-01-03 23:59:08.537,-0.418087,-0.498606,54.636056,0.24,0.0,9.66,0.125,-0.062,-0.062,6.188,8.875,-31.75
2024-01-03 23:59:08.572,-0.397183,-0.4856,58.56049,0.04,0.0,9.61,-0.062,0.125,-0.438,5.062,8.5,-31.75
2024-01-03 23:59:08.609,-0.347169,-0.452273,55.12694,-0.03,-0.1,9.5,0.312,-0.188,0.0,5.5,8.062,-32.5
2024-01-03 23:59:08.673,-0.394774,-0.459192,57.664815,0.1,0.22,9.7,0.188,-0.062,0.25,5.5,8.875,-32.5
2024-01-03 23:59:08.763,-0.393714,-0.485864,59.749038,0.05,0.05,9.71,0.0,0.062,-0.25,4.375,7.75,-32.5
2024-01-03 23:59:08.860,-0.430979,-0.509858,58.644703,0.16,0.12,9.68,0.062,0.25,-0.062,5.5,9.25,-31.75
2024-01-03 23:59:08.887,-0.40943,-0.48733,58.667396,0.01,0.0,9.66,-0.188,0.0,-0.25,5.5,9.25,-31.75
2024-01-03 23:59:08.939,-0.391924,-0.462964,56.57107,0.0,0.01,9.66,0.25,0.125,0.188,5.5,8.5,-31.25
2024-01-03 23:59:08.958,-0.366354,-0.538357,56.329669,0.33,-0.02,9.59,-0.125,0.062,0.312,5.5,8.5,-31.75
2024-01-03 23:59:09.029,-0.35697,-0.570989,56.251531,0.2,0.03,9.62,-0.188,0.25,-0.312,5.5,8.5,-31.0
2024-01-03 23:59:09.056,-0.371911,-0.51263,56.419752,-0.1,0.11,9.61,-0.062,0.312,-0.375,5.5,8.5,-31.0
2024-01-03 23:59:09.154,-0.405591,-0.561711,59.471128,0.41,0.01,9.67,0.0,-0.062,0.438,5.062,8.875,-30.562
2024-01-03 23:59:09.167,-0.38229,-0.666495,58.995565,0.44,-0.01,9.48,-0.25,0.125,-0.438,5.5,9.562,-32.5
2024-01-03 23:59:09.235,-0.380969,-0.627239,54.524449,-0.02,0.06,9.66,-0.125,0.0,-0.312,5.062,7.375,-31.25
2024-01-03 23:59:09.273,-0.40917,-0.587017,54.689048,-0.03,0.16,9.7,-0.062,0.125,0.375,5.062,7.375,-31.25
